,player_id,team_id,fixture_id,minutes,position,rating,goals,passes,tackles,duels,dribbles
128,18781,45,710559,83.0,M,6.9,,18.0,4.0,7.0,
129,2413,45,710559,89.0,M,8.3,1.0,16.0,3.0,22.0,5.0
130,18766,45,710559,90.0,F,7.9,1.0,16.0,,17.0,1.0
131,18858,45,710559,,G,,,,,,
132,17661,45,710559,,D,,,,,,
133,2484,45,710559,11.0,D,6.3,,1.0,,,
134,18760,45,710559,,D,,,,,,
135,18762,45,710559,,M,,,,,,
136,138787,45,710559,1.0,F,,,3.0,,1.0,1.0
137,630,45,710559,,M,,,,,,
138,1455,45,710559,20.0,F,6.7,,7.0,,3.0,2.0
139,126791,45,710559,,F,,,,,,
140,18935,41,710559,90.0,G,6.3,,23.0,,,
141,158694,41,710559,90.0,D,6.7,,42.0,4.0,15.0,3.0
142,18940,41,710559,90.0,D,6.2,,44.0,2.0,8.0,
143,47480,41,710559,90.0,D,6.3,,47.0,,8.0,1.0
144,20600,41,710559,83.0,D,6.2,,21.0,1.0,8.0,1.0
145,18769,41,710559,80.0,M,6.2,,19.0,1.0,5.0,
146,2938,41,710559,90.0,M,7,,56.0,3.0,11.0,1.0
147,18949,41,710559,79.0,M,6.3,,43.0,3.0,10.0,
148,2114,41,710559,90.0,M,6.6,,27.0,4.0,18.0,9.0
149,19524,41,710559,90.0,F,7.3,,19.0,3.0,33.0,2.0
150,19484,41,710559,90.0,F,7,1.0,7.0,,6.0,2.0
151,18932,41,710559,,G,,,,,,
152,2999,41,710559,,D,,,,,,
153,171,41,710559,,D,,,,,,
154,18942,41,710559,,D,,,,,,
155,18945,41,710559,,M,,,,,,
156,18948,41,710559,11.0,M,6.7,,8.0,,3.0,3.0
157,18946,41,710559,,M,,,,,,
158,231029,41,710559,10.0,M,6.3,,5.0,,1.0,1.0
159,20557,41,710559,11.0,M,6.3,,9.0,,3.0,
160,2728,46,710560,90.0,G,7.3,,32.0,,,
161,18771,46,710560,90.0,D,7.2,,56.0,1.0,9.0,3.0
162,3421,46,710560,90.0,D,7.2,,79.0,2.0,5.0,
163,18776,46,710560,90.0,D,7.2,,92.0,2.0,9.0,1.0
164,152969,46,710560,90.0,D,6.7,,60.0,2.0,11.0,2.0
165,2926,46,710560,90.0,M,7.6,,79.0,5.0,11.0,
166,18786,46,710560,90.0,M,6.7,,71.0,2.0,18.0,4.0
167,18906,46,710560,62.0,M,6.7,,23.0,,7.0,1.0
168,18784,46,710560,62.0,M,7,,24.0,1.0,5.0,
169,18778,46,710560,72.0,M,6.2,,15.0,,10.0,6.0
170,18788,46,710560,90.0,F,7.9,1.0,12.0,,8.0,2.0
171,18146,46,710560,,G,,,,,,
172,18943,46,710560,28.0,D,6.3,,15.0,,3.0,
173,18779,46,710560,,M,,,,,,
174,148099,46,710560,,M,,,,,,
175,22233,46,710560,28.0,M,6.7,,16.0,,2.0,1.0
176,18777,46,710560,,M,,,,,,
177,1098,46,710560,,F,,,,,,
178,2925,46,710560,,M,,,,,,
179,2778,46,710560,18.0,F,6.3,,10.0,,3.0,
180,1590,39,710560,90.0,G,7.3,,16.0,,,
181,18744,39,710560,89.0,D,7.3,,63.0,3.0,5.0,1.0
182,18741,39,710560,90.0,D,6.9,,54.0,1.0,3.0,
183,2716,39,710560,90.0,D,6.9,,64.0,,4.0,
184,285,39,710560,90.0,M,7.5,,36.0,4.0,15.0,3.0
185,2676,39,710560,90.0,M,7.2,,43.0,1.0,4.0,
186,2677,39,710560,66.0,M,7.5,,38.0,3.0,6.0,
187,652,39,710560,90.0,M,7.3,,43.0,2.0,7.0,
188,41112,39,710560,86.0,F,6.9,,21.0,1.0,16.0,10.0
189,2887,39,710560,90.0,F,7.2,,23.0,,11.0,3.0
190,18753,39,710560,90.0,F,7.5,,27.0,2.0,22.0,15.0
191,18737,39,710560,,G,,,,,,
192,152964,39,710560,,D,,,,,,
193,18746,39,710560,8.0,M,6.5,,5.0,,3.0,
194,149564,39,710560,,M,,,,,,
195,21138,39,710560,,D,,,,,,
196,2922,39,710560,24.0,M,6.9,,10.0,3.0,5.0,
197,130,39,710560,,D,,,,,,
198,129791,39,710560,1.0,F,,,,,,
199,158432,39,710560,,F,,,,,,
200,882,33,710561,90.0,G,6.7,,33.0,,,
201,18846,33,710561,90.0,D,6.2,,38.0,,5.0,3.0
202,889,33,710561,90.0,D,7.3,,60.0,,5.0,
203,2935,33,710561,90.0,D,6.7,,49.0,1.0,8.0,1.0
204,891,33,710561,90.0,D,6.9,,33.0,,7.0,
205,903,33,710561,70.0,M,6.9,,32.0,2.0,8.0,2.0
206,905,33,710561,90.0,M,7,1.0,38.0,,6.0,1.0
207,19329,33,710561,75.0,M,6.9,,17.0,2.0,6.0,1.0
208,1485,33,710561,90.0,M,8.7,3.0,28.0,,10.0,1.0
209,904,33,710561,75.0,M,8.5,,33.0,1.0,13.0,2.0
210,897,33,710561,90.0,F,7.9,1.0,25.0,,15.0,9.0
211,2931,33,710561,,G,,,,,,
212,138806,33,710561,,D,,,,,,
213,886,33,710561,,D,,,,,,
214,901,33,710561,,M,,,,,,
215,902,33,710561,20.0,M,6.6,,16.0,,2.0,
216,899,33,710561,,M,,,,,,
217,547,33,710561,,M,,,,,,
218,18,33,710561,15.0,F,6.7,,13.0,,2.0,2.0
219,908,33,710561,15.0,F,6.9,,7.0,,2.0,2.0
220,20619,63,710561,90.0,G,5.9,,37.0,,1.0,
221,19116,63,710561,90.0,D,6.6,1.0,67.0,2.0,13.0,2.0
222,64003,63,710561,90.0,D,6,,55.0,2.0,7.0,
223,19118,63,710561,90.0,D,6.6,,51.0,7.0,9.0,
224,19126,63,710561,90.0,D,6.2,,33.0,1.0,7.0,1.0
225,26238,63,710561,90.0,M,6.6,,27.0,2.0,12.0,3.0
226,1496,63,710561,90.0,M,6.7,,37.0,4.0,10.0,2.0
227,935,63,710561,45.0,M,6.9,,18.0,1.0,4.0,2.0
228,3008,63,710561,90.0,M,6.3,,43.0,2.0,6.0,1.0
229,19128,63,710561,70.0,M,6.3,,20.0,1.0,6.0,1.0
230,19134,63,710561,77.0,F,6.2,,14.0,,5.0,
231,39105,63,710561,,G,,,,,,
232,1564,63,710561,45.0,D,6,,29.0,,2.0,
233,19131,63,710561,,M,,,,,,
234,19130,63,710561,,M,,,,,,
235,19139,63,710561,13.0,F,7.2,,2.0,1.0,3.0,
236,19127,63,710561,,M,,,,,,
237,18752,63,710561,20.0,F,6.6,,5.0,,4.0,
238,153400,63,710561,,F,,,,,,
239,37724,63,710561,,M,,,,,,
240,18889,34,710562,90.0,G,6.3,,23.0,,,
241,19163,34,710562,90.0,D,6.2,1.0,33.0,2.0,15.0,6.0
242,2855,34,710562,84.0,D,6.2,,30.0,1.0,4.0,
243,18893,34,710562,90.0,D,7.2,,59.0,,3.0,
244,18891,34,710562,90.0,D,6.3,,48.0,,8.0,
245,18903,34,710562,90.0,D,6.3,,34.0,,8.0,
246,18899,34,710562,90.0,M,6.3,,39.0,2.0,15.0,
247,18904,34,710562,70.0,M,6,,35.0,,7.0,2.0
248,2507,34,710562,90.0,M,6.7,,33.0,,4.0,2.0
249,2939,34,710562,85.0,F,7.2,1.0,12.0,,5.0,1.0
250,22173,34,710562,90.0,F,7.9,,36.0,1.0,21.0,12.0
251,44912,34,710562,,G,,,,,,
252,19076,34,710562,,D,,,,,,
253,2806,34,710562,,D,,,,,,
254,18894,34,710562,,D,,,,,,
255,18924,34,710562,,M,,,,,,
256,18873,34,710562,20.0,M,6.7,,9.0,,2.0,
257,18901,34,710562,11.0,M,6.9,,6.0,2.0,2.0,
258,723,34,710562,10.0,F,6.3,,4.0,,1.0,
259,19166,34,710562,,F,,,,,,
260,2997,48,710562,90.0,G,6.3,,26.0,,,
261,1231,48,710562,90.0,D,7.2,,53.0,4.0,10.0,
262,19147,48,710562,90.0,D,6.6,,50.0,,8.0,
